date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:35	2806/2806	---M-Z	200	added ('OK')	text/html	etag:%22af6-51b5a3e169d3e-gzip%22	https://almsaeedstudio.com/themes/AdminLTE/pages/examples/lockscreen.html	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/pages/examples/lockscreen.html	(from )
10:59:35	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5116175a667c8%22	https://almsaeedstudio.com/robots.txt		(from )
10:59:36	117305/117305	---M--	200	added ('OK')	text/css	etag:%221ca39-51b5a38c34bdb%22	https://almsaeedstudio.com/themes/AdminLTE/bootstrap/css/bootstrap.min.css	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/bootstrap/css/bootstrap.min.css	(from https://almsaeedstudio.com/themes/AdminLTE/pages/examples/lockscreen.html)
10:59:36	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2204425bbdc6243fc6e54bf8984fe50330%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/lockscreen/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from https://almsaeedstudio.com/themes/AdminLTE/pages/examples/lockscreen.html)
10:59:37	3377/3377	---M--	200	added ('OK')	image/jpeg	etag:%22d31-51b5a39f78452%22	https://almsaeedstudio.com/themes/AdminLTE/dist/img/user1-128x128.jpg	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/dist/img/user1-128x128.jpg	(from https://almsaeedstudio.com/themes/AdminLTE/pages/examples/lockscreen.html)
10:59:37	3597/3597	---M-Z	200	added ('OK')	text/html	etag:%22e0d-51b5a3e1c2f10-gzip%22	https://almsaeedstudio.com/themes/AdminLTE/pages/examples/login.html	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/pages/examples/login.html	(from https://almsaeedstudio.com/themes/AdminLTE/pages/examples/lockscreen.html)
10:59:37	81733/81733	---M--	200	added ('OK')	text/css	etag:%2213f45-51b5a39070c12%22	https://almsaeedstudio.com/themes/AdminLTE/dist/css/AdminLTE.min.css	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/dist/css/AdminLTE.min.css	(from https://almsaeedstudio.com/themes/AdminLTE/pages/examples/lockscreen.html)
10:59:38	84345/84345	---M--	200	added ('OK')	application/javascript	etag:%2214979-51b5a3fb659e3%22	https://almsaeedstudio.com/themes/AdminLTE/plugins/jQuery/jQuery-2.1.4.min.js	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/plugins/jQuery/jQuery-2.1.4.min.js	(from https://almsaeedstudio.com/themes/AdminLTE/pages/examples/lockscreen.html)
10:59:39	35951/35951	---M--	200	added ('OK')	application/javascript	etag:%228c6f-51b5a38b70ef5%22	https://almsaeedstudio.com/themes/AdminLTE/bootstrap/js/bootstrap.min.js	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/bootstrap/js/bootstrap.min.js	(from https://almsaeedstudio.com/themes/AdminLTE/pages/examples/lockscreen.html)
10:59:39	1611/1611	---M--	200	added ('OK')	text/css	etag:%2264b-51b5a3f8bbb6f%22	https://almsaeedstudio.com/themes/AdminLTE/plugins/iCheck/square/blue.css	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/plugins/iCheck/square/blue.css	(from https://almsaeedstudio.com/themes/AdminLTE/pages/examples/login.html)
10:59:40	4001/4001	---M-Z	200	added ('OK')	text/html	etag:%22fa1-51b5a3e23c86d-gzip%22	https://almsaeedstudio.com/themes/AdminLTE/pages/examples/register.html	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/pages/examples/register.html	(from https://almsaeedstudio.com/themes/AdminLTE/pages/examples/login.html)
10:59:40	123770/123770	---M--	200	added ('OK')	image/jpeg	etag:%221e37a-51b5a39f6f3c9%22	https://almsaeedstudio.com/themes/AdminLTE/dist/img/boxed-bg.jpg	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/dist/img/boxed-bg.jpg	(from https://almsaeedstudio.com/themes/AdminLTE/dist/css/AdminLTE.min.css)
10:59:40	4516/4516	---M--	200	added ('OK')	application/javascript	etag:%2211a4-51b5a3f18c8dd%22	https://almsaeedstudio.com/themes/AdminLTE/plugins/iCheck/icheck.min.js	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/plugins/iCheck/icheck.min.js	(from https://almsaeedstudio.com/themes/AdminLTE/pages/examples/login.html)
10:59:40	2185/2185	---M--	200	added ('OK')	image/png	etag:%22889-51b5a3f911691%22	https://almsaeedstudio.com/themes/AdminLTE/plugins/iCheck/square/blue.png	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/plugins/iCheck/square/blue.png	(from https://almsaeedstudio.com/themes/AdminLTE/plugins/iCheck/square/blue.css)
10:59:41	4485/4485	---M--	200	added ('OK')	image/png	etag:%221185-51b5a3f97e4cd%22	https://almsaeedstudio.com/themes/AdminLTE/plugins/iCheck/square/blue@2x.png	C:/lockscreen/almsaeedstudio.com/themes/AdminLTE/plugins/iCheck/square/blue@2x.png	(from https://almsaeedstudio.com/themes/AdminLTE/plugins/iCheck/square/blue.css)
